STATE,PC_NO,PC_NAME,PC_TYPE,AC_NO,AC_NAME,AC_TYPE,18-19 Male,18-19 Female,18-19 Others,Above 18 Male,Above 18 Female,Above 18 Others,Gender Ratio Roll,Electors with EPIC,Electors with Photo
BIHAR,32,ARRAH,,196,TARARI,,4771,4181,2,140821,117577,11,835,237704,258409
BIHAR,32,ARRAH,,197,JAGDISHPUR,,4803,3540,2,142471,120355,18,845,244569,262858
BIHAR,32,ARRAH,,198,SHAHPUR,,5387,2475,4,149447,115712,12,774,238406,265171
BIHAR,33,BUXAR,,199,BRAHAMPUR,,4625,2860,0,155518,132361,4,851,261843,287884
BIHAR,33,BUXAR,,200,BUXAR,,4242,3988,0,136572,120084,3,879,238521,256656
BIHAR,33,BUXAR,,201,DUMRAON,,4524,3448,0,145938,125765,5,862,250113,271713
BIHAR,33,BUXAR,,202,RAJPUR,SC,4353,3972,0,150306,135543,0,902,271269,285849
BIHAR,33,BUXAR,,203,RAMGARH,,4174,4747,1,126361,111906,27,886,215639,238281
BIHAR,34,SASARAM,SC,204,MOHANIA,SC,4237,3344,5,125520,108377,23,863,211998,233920
BIHAR,34,SASARAM,SC,205,BHABUA,,3711,3427,3,124309,111464,14,897,215614,235785
BIHAR,34,SASARAM,SC,206,CHAINPUR,,4269,3728,6,142066,127908,16,900,246154,269990
BIHAR,34,SASARAM,SC,207,CHENARI,SC,3628,2277,-9,138050,118002,1,855,243136,256053
BIHAR,34,SASARAM,SC,208,SASARAM,,5246,3165,-33,166002,142075,1,856,280487,308065
BIHAR,34,SASARAM,SC,209,KARGAHAR,,4190,3027,-4,151210,131896,4,872,264080,283109
BIHAR,33,BUXAR,,210,DINARA,,3056,2673,-5,134867,117785,5,873,234634,252654
BIHAR,35,KARAKAT,,211,NOKHA,,3445,2422,1,135804,116559,6,858,228912,252369
BIHAR,35,KARAKAT,,212,DEHRI,,3178,2030,0,137754,117817,5,855,235682,255576
BIHAR,35,KARAKAT,,213,KARAKAT,,3411,3891,-23,149471,128391,4,859,262468,277865
BIHAR,36,JAHANABAD,,214,ARWAL,,3839,2837,1,124322,106749,9,859,205116,231079
BIHAR,36,JAHANABAD,,215,KURTHA,,3295,2131,0,115834,100543,7,868,193092,216384
BIHAR,36,JAHANABAD,,216,JAHANABAD,,3904,2913,2,137160,120454,2,878,240261,257617
BIHAR,36,JAHANABAD,,217,GHOSI,,3509,2650,-2,122382,111146,7,908,216012,233537
BIHAR,36,JAHANABAD,,218,MAKHDUMPUR,SC,3487,2736,2,111723,98780,3,884,193445,210511
BIHAR,35,KARAKAT,,219,GOH,,4943,3761,3,140691,123835,7,880,231949,264371
BIHAR,35,KARAKAT,,220,OBRA,,4988,3035,1,144753,124513,8,860,239703,268907
